Attribute 0;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8
pretentious;less_proper;incomplete;2;;inconv;;recommended;priority
;proper;complete;2;convenient;;problematic;recommended;priority
;less_proper;incomplete;2;;inconv;nonprob;recommended;priority
great_pret;less_proper;complete;2;less_conv;;;recommended;priority
usual;improper;incomplete;2;;inconv;;recommended;priority
great_pret;less_proper;complete;2;convenient;;;recommended;priority
great_pret;less_proper;completed;2;less_conv;;;recommended;priority
great_pret;less_proper;incomplete;1;less_conv;;;recommended;priority
great_pret;less_proper;incomplete;1;convenient;;;recommended;priority
great_pret;less_proper;completed;2;convenient;;;recommended;priority
great_pret;less_proper;completed;1;less_conv;;;recommended;priority
great_pret;less_proper;completed;1;convenient;;;recommended;priority
great_pret;proper;completed;2;less_conv;;;recommended;priority
great_pret;proper;completed;2;convenient;;;recommended;priority
;;complete;1;convenient;convenient;problematic;recommended;priority
great_pret;proper;completed;1;convenient;;;recommended;priority
usual;critical;complete;2;convenient;;;recommended;priority
usual;critical;complete;2;convenient;;;priority;priority
great_pret;proper;completed;1;less_conv;;;recommended;priority
usual;critical;complete;2;less_conv;;;recommended;priority
usual;critical;complete;2;less_conv;;;priority;priority
;critical;complete;1;convenient;convenient;;recommended;priority
great_pret;proper;complete;2;less_conv;;;recommended;priority
great_pret;proper;complete;2;convenient;;;recommended;priority
usual;critical;incomplete;1;convenient;;;recommended;priority
usual;critical;incomplete;1;convenient;;;priority;priority
usual;critical;incomplete;1;less_conv;;;priority;priority
usual;critical;incomplete;1;less_conv;;;recommended;priority
usual;critical;completed;2;less_conv;;;recommended;priority
usual;critical;completed;2;less_conv;;;priority;priority
great_pret;proper;incomplete;1;convenient;;;recommended;priority
usual;critical;completed;2;convenient;;;recommended;priority
usual;critical;completed;2;convenient;;;priority;priority
usual;critical;completed;1;convenient;;;priority;priority
usual;critical;completed;1;convenient;;;recommended;priority
usual;critical;completed;1;less_conv;;;priority;priority
usual;critical;completed;1;less_conv;;;recommended;priority
great_pret;proper;incomplete;1;less_conv;;;recommended;priority
;critical;complete;2;less_conv;;slightly_prob;recommended;priority
;critical;complete;2;less_conv;;nonprob;recommended;priority
;critical;complete;2;convenient;;slightly_prob;recommended;priority
usual;proper;incomplete;2;;inconv;;recommended;priority
great_pret;;incomplete;1;convenient;;slightly_prob;recommended;priority
great_pret;;incomplete;1;convenient;;nonprob;recommended;priority
;critical;complete;2;convenient;;nonprob;recommended;priority
;less_proper;completed;2;less_conv;;problematic;recommended;priority
pretentious;less_proper;incomplete;2;less_conv;;;recommended;priority
;less_proper;incomplete;2;less_conv;;slightly_prob;recommended;priority
;less_proper;incomplete;2;less_conv;;nonprob;recommended;priority
great_pret;;incomplete;1;less_conv;;nonprob;recommended;priority
;less_proper;incomplete;1;convenient;;problematic;recommended;priority
great_pret;;incomplete;1;less_conv;;slightly_prob;recommended;priority
;less_proper;incomplete;1;less_conv;;problematic;recommended;priority
;less_proper;complete;2;less_conv;;problematic;recommended;priority
great_pret;;completed;1;less_conv;;slightly_prob;recommended;priority
;critical;incomplete;1;less_conv;;nonprob;recommended;priority
;critical;incomplete;1;convenient;;slightly_prob;recommended;priority
;critical;incomplete;1;convenient;;nonprob;recommended;priority
great_pret;;completed;2;convenient;;nonprob;recommended;priority
great_pret;;complete;1;convenient;convenient;;recommended;priority
great_pret;;completed;1;convenient;;nonprob;recommended;priority
great_pret;;completed;1;convenient;;slightly_prob;recommended;priority
great_pret;;completed;1;less_conv;;nonprob;recommended;priority
;critical;incomplete;1;less_conv;;slightly_prob;recommended;priority
;less_proper;complete;2;convenient;;problematic;recommended;priority
;critical;completed;1;less_conv;;slightly_prob;recommended;priority
;less_proper;completed;1;less_conv;;problematic;recommended;priority
;critical;completed;2;convenient;;nonprob;recommended;priority
;critical;completed;2;convenient;;slightly_prob;recommended;priority
;less_proper;completed;1;convenient;;problematic;recommended;priority
;less_proper;completed;2;convenient;;problematic;recommended;priority
;very_crit;complete;1;convenient;convenient;;recommended;priority
;critical;completed;1;less_conv;;nonprob;recommended;priority
;critical;completed;1;convenient;;nonprob;recommended;priority
;critical;completed;1;convenient;;slightly_prob;recommended;priority
great_pret;;completed;2;less_conv;;nonprob;recommended;priority
pretentious;proper;incomplete;2;;inconv;;recommended;priority
;proper;incomplete;2;;inconv;slightly_prob;recommended;priority
;proper;incomplete;2;;inconv;nonprob;recommended;priority
great_pret;;completed;2;less_conv;;slightly_prob;recommended;priority
great_pret;;completed;2;convenient;;slightly_prob;recommended;priority
;critical;completed;2;less_conv;;slightly_prob;recommended;priority
;critical;completed;2;less_conv;;nonprob;recommended;priority
pretentious;improper;incomplete;1;convenient;;;recommended;priority
pretentious;improper;incomplete;1;convenient;;;priority;priority
pretentious;improper;completed;1;convenient;;;recommended;priority
pretentious;improper;completed;1;convenient;;;priority;priority
pretentious;improper;completed;2;convenient;;;recommended;priority
pretentious;improper;completed;2;convenient;;;priority;priority
pretentious;improper;complete;2;convenient;;;priority;priority
pretentious;improper;complete;2;convenient;;;recommended;priority
pretentious;improper;completed;2;less_conv;;;priority;priority
pretentious;improper;completed;2;less_conv;;;recommended;priority
pretentious;improper;completed;1;less_conv;;;recommended;priority
pretentious;improper;complete;2;less_conv;;;recommended;priority
pretentious;improper;completed;1;less_conv;;;priority;priority
pretentious;improper;complete;2;less_conv;;;priority;priority
usual;proper;incomplete;2;less_conv;;;recommended;priority
pretentious;improper;incomplete;1;less_conv;;;recommended;priority
pretentious;improper;incomplete;1;less_conv;;;priority;priority
great_pret;;complete;2;less_conv;;slightly_prob;recommended;priority
great_pret;;complete;2;less_conv;;nonprob;recommended;priority
great_pret;;complete;2;convenient;;slightly_prob;recommended;priority
;very_crit;completed;1;less_conv;;slightly_prob;recommended;priority
;proper;completed;2;less_conv;;problematic;recommended;priority
;very_crit;completed;1;less_conv;;nonprob;recommended;priority
;very_crit;completed;2;less_conv;;slightly_prob;recommended;priority
;very_crit;completed;2;less_conv;;nonprob;recommended;priority
;very_crit;completed;2;convenient;;slightly_prob;recommended;priority
;very_crit;completed;2;convenient;;nonprob;recommended;priority
;very_crit;complete;2;less_conv;;nonprob;recommended;priority
;very_crit;complete;2;convenient;;nonprob;recommended;priority
;very_crit;complete;2;less_conv;;slightly_prob;recommended;priority
;very_crit;complete;2;convenient;;slightly_prob;recommended;priority
great_pret;;complete;2;convenient;;nonprob;recommended;priority
;proper;incomplete;1;less_conv;;problematic;recommended;priority
;very_crit;completed;1;convenient;;nonprob;recommended;priority
;proper;completed;1;convenient;;problematic;recommended;priority
usual;less_proper;incomplete;2;;inconv;;recommended;priority
;proper;incomplete;2;less_conv;;nonprob;recommended;priority
;very_crit;incomplete;1;convenient;;slightly_prob;recommended;priority
;very_crit;incomplete;1;convenient;;nonprob;recommended;priority
;proper;completed;2;convenient;;problematic;recommended;priority
;proper;incomplete;1;convenient;;problematic;recommended;priority
;proper;incomplete;2;less_conv;;slightly_prob;recommended;priority
pretentious;proper;incomplete;2;less_conv;;;recommended;priority
;very_crit;incomplete;1;less_conv;;slightly_prob;recommended;priority
;proper;completed;1;less_conv;;problematic;recommended;priority
usual;less_proper;incomplete;2;less_conv;;;recommended;priority
;very_crit;incomplete;1;less_conv;;nonprob;recommended;priority
;very_crit;completed;1;convenient;;slightly_prob;recommended;priority
;;;;;;;not_recom;not_recom
